Start Latitude,Start Longitude,Property Damage (USD),Diameter (m)
37.4463,-78.0012,30000.1,137.16
32.1196,-96.3186,90000.1,54.864
35.0823,-94.2695,50000.1,320.04
35.3909,-93.9501,10000.1,365.76
37.0474,-93.8293,100000.1,68.58
33.0015,-95.3288,5000.1,45.72
33.4474,-94.6484,2500000.1,512.064
33.5655,-94.5114,50000.1,45.72
33.6222,-94.4294,40000.1,269.748
35.1771,-92.3648,100000.1,137.16
38.5094,-90.8232,0.1,22.86
30.76,-93.89,20000.1,9.144
31.1894,-93.3413,15000.1,9.144
31.74,-89.48,45000.1,228.6
40.8081,-124.1631,100.1,27.432
30.96,-93.0201,25000.1,320.04
32.3963,-88.9137,200000.1,274.32
32.4284,-88.2756,0.1,137.16
32.4636,-87.7895,0.1,1005.84
32.9484,-86.9247,0.1,45.72
32.9578,-86.7844,0.1,274.32
33.7178,-85.159,50000.1,228.6
32.5603,-86.7174,0.1,137.16
32.0121,-87.9099,0.1,91.44
33.1916,-85.2025,25000.1,228.6
32.6038,-84.5151,35000.1,182.88
32.7853,-89.133,50000.1,27.432
31.4669,-88.3843,10000.1,91.44
30.7941,-85.8089,250000.1,91.44
30.9507,-85.5161,25000.1,22.86
30.9507,-85.5161,25000.1,22.86
30.9987,-85.3859,0.1,22.86
36.6685,-119.5134,0.1,18.288
39.9087,-79.7274,50000.1,402.336
36.6392,-87.0126,825000.1,320.04
36.6392,-87.0126,25000.1,137.16
36.6441,-87.0049,800000.1,320.04
35.4534,-91.0543,20000.1,45.72
37.0186,-86.1459,280000.1,45.72
35.3999,-90.8666,500000.1,68.58
36.3001,-90.6333,2502000.1,137.16
36.3001,-90.6333,500000.1,137.16
36.4796,-90.1591,2002000.1,137.16
35.6381,-90.1321,1000000.1,45.72
36.7508,-89.5846,750000.1,137.16
36.3753,-89.2938,50000.1,68.58
36.4167,-89.0012,2000000.1,411.48
36.0043,-88.9915,25000.1,68.58
36.4106,-88.7895,50000.1,68.58
36.2266,-88.6918,25000.1,68.58
36.5163,-88.5217,450000.1,114.3
36.9898,-88.6588,85000.1,91.44
36.7458,-88.5415,50000.1,91.44
36.5972,-88.3223,550000.1,91.44
36.3321,-88.2714,50000.1,68.58
36.9203,-87.4783,20000.1,68.58
36.8315,-87.4835,6000000.1,182.88
36.4848,-87.4709,1000000.1,137.16
36.9507,-87.3028,6000.1,45.72
36.5513,-87.2707,7000000.1,182.88
