Date,State,Magnitude,Injuries,Fatalities,Total,slat,slon,Length,Width,Year
Feb-50,TX,3,12,1,13,29.67,-95.05,12,1000,1950
Mar-50,TX,1,32,0,32,31.8,-94.2,7.7,100,1950
Apr-50,TX,3,15,3,18,31.8,-94.2,1.9,50,1950
May-50,LA,4,77,18,95,31.97,-94,82.6,100,1950
Jun-50,LA,2,10,5,15,32.2,-93.58,58.4,100,1950
Jul-50,LA,3,25,5,30,31.63,-93.65,74.5,100,1950
Aug-50,OK,4,32,5,37,35.08,-96.4,4.5,200,1950
Sep-50,TX,2,13,1,14,36.4,-100.8,1.9,50,1950
Oct-50,KS,3,12,0,12,39.62,-95.62,17.3,440,1950
Nov-50,LA,1,13,0,13,32.1,-93.9,1,27,1950
Dec-50,NE,2,101,0,101,42.6,-97.88,4.1,10,1950
Jan-51,NE,4,33,0,33,41.8,-96.6,10,440,1950
Feb-51,LA,3,11,0,11,31.3,-92.47,16.8,317,1951
Mar-51,TX,4,100,2,102,33.42,-98.75,2,200,1951
Apr-51,TX,3,12,0,12,35.43,-101.18,10.4,100,1951
May-51,KS,4,100,5,105,39.03,-99.88,0.8,300,1951
Jun-51,LA,2,33,4,37,30.37,-92.13,20.4,67,1952
Jul-51,NE,4,20,0,20,41.22,-96.58,26.7,110,1952
Aug-51,LA,3,21,2,23,30.48,-90.7,15.6,400,1953
Sep-51,TX,4,25,17,42,33.28,-99.95,13.9,50,1953
Oct-51,OK,3,11,2,13,33.92,-97.27,45.3,200,1953
Nov-51,LA,2,22,2,24,31.1,-93.22,159.2,200,1953
Dec-51,OK,2,14,1,15,34.03,-94.57,0.8,17,1953
Jan-52,TX,4,15,2,17,29.57,-98.7,1,1760,1953
Feb-52,NE,3,82,5,87,40.25,-97.57,46.9,880,1953
Mar-52,TX,4,159,13,172,31.53,-100.58,9.9,880,1953
Apr-52,TX,5,597,114,711,31.55,-97.15,20.9,583,1953
May-52,LA,3,17,0,17,32.47,-91.75,41.6,100,1953
Jun-52,NE,4,0,11,11,41.33,-99.13,15,440,1953
Jul-52,LA,4,50,9,59,31.07,-93.05,85.5,300,1953
Aug-52,LA,2,16,0,16,32.8,-92.67,9.7,33,1953
Sep-52,LA,2,11,0,11,32.75,-92.13,26.1,880,1953
Oct-52,TX,2,25,0,25,31.07,-95.12,68.8,883,1954
Nov-52,OK,3,12,0,12,34,-95.52,1,150,1954
Dec-52,OK,4,65,0,65,35.4,-97.37,59.2,10,1954
Jan-53,NE,4,23,6,29,41.73,-97.73,29.9,400,1954
Feb-53,TX,3,14,1,15,34.02,-100.3,13.4,267,1954
Mar-53,TX,3,25,0,25,28.15,-97.43,20.5,333,1954
Apr-53,TX,3,27,1,28,33.63,-96.6,30.2,67,1955
May-53,OK,5,280,20,300,36.72,-97.28,19.6,500,1955
Jun-53,KS,5,273,80,353,37,-97.25,48.4,1320,1955
Jul-53,NE,4,29,2,31,41.93,-103.8,26,10,1955
Aug-53,NE,2,13,1,14,41.28,-99.22,31.2,10,1955
Sep-53,OK,3,68,5,73,35.5,-97,42.6,300,1956
