Year,Month,Date,State,Magnitude,Injuries,Fatalities,Total,Length,Width
1950,1,Jan-1950,TX,2,2,0,2,4.7,133
1950,2,Feb-1950,TX,2,0,0,0,9.9,400
1950,2,Feb-1950,TX,3,12,1,13,12,1000
1950,2,Feb-1950,TX,2,5,0,5,4.6,100
1950,2,Feb-1950,TX,2,6,0,6,4.5,67
1950,2,Feb-1950,TX,2,8,1,9,8,833
1950,2,Feb-1950,TX,1,0,0,0,2.3,233
1950,2,Feb-1950,TX,2,0,0,0,3.4,100
1950,2,Feb-1950,TX,1,32,0,32,7.7,100
1950,2,Feb-1950,TX,3,15,3,18,1.9,50
1950,2,Feb-1950,LA,4,77,18,95,82.6,100
1950,2,Feb-1950,LA,2,10,5,15,58.4,100
1950,2,Feb-1950,LA,3,25,5,30,74.5,100
1950,2,Feb-1950,LA,1,0,0,0,0.5,33
1950,2,Feb-1950,OK,2,0,0,0,2,50
1950,3,Mar-1950,LA,1,2,0,2,2,33
1950,3,Mar-1950,LA,2,0,0,0,1,50
1950,3,Mar-1950,LA,0,0,0,0,18.1,27
1950,3,Mar-1950,OK,2,0,0,0,0.1,77
1950,3,Mar-1950,LA,1,2,0,2,15.3,17
1950,3,Mar-1950,LA,1,0,0,0,0.5,27
1950,4,Apr-1950,OK,2,0,0,0,1,100
1950,4,Apr-1950,OK,1,0,0,0,1,33
1950,4,Apr-1950,LA,1,0,0,0,2,100
1950,4,Apr-1950,OK,3,1,1,2,20.8,400
1950,4,Apr-1950,KS,1,0,0,0,19.8,10
1950,4,Apr-1950,TX,4,5,5,10,1.3,233
1950,4,Apr-1950,OK,4,32,5,37,4.5,200
1950,4,Apr-1950,OK,2,0,0,0,0.8,100
1950,4,Apr-1950,TX,1,0,0,0,11.5,200
1950,5,May-1950,LA,1,0,0,0,2,100
1950,5,May-1950,LA,1,0,0,0,15.4,150
1950,5,May-1950,LA,2,7,0,7,3.6,100
1950,5,May-1950,LA,1,2,0,2,1,100
1950,5,May-1950,LA,0,0,0,0,1,100
1950,5,May-1950,LA,1,1,0,1,32.8,150
1950,5,May-1950,LA,2,5,1,6,2,100
1950,5,May-1950,KS,1,0,0,0,0.1,10
1950,5,May-1950,TX,2,13,1,14,1.9,50
1950,5,May-1950,IA,1,0,0,0,0.1,10
1950,5,May-1950,OK,2,0,0,0,5.6,293
1950,5,May-1950,OK,1,0,0,0,0.1,10
1950,5,May-1950,OK,2,0,0,0,1,100
1950,5,May-1950,KS,4,1,0,1,34.3,150
1950,5,May-1950,KS,3,12,0,12,17.3,440
1950,5,May-1950,OK,1,0,0,0,0.1,10
1950,5,May-1950,OK,2,3,0,3,4.3,10
1950,5,May-1950,OK,1,0,0,0,0.1,10
1950,5,May-1950,SD,1,0,0,0,1,10
1950,5,May-1950,KS,2,0,0,0,12.6,660
1950,5,May-1950,KS,2,1,0,1,6.8,10
1950,5,May-1950,IA,2,0,0,0,0.1,200
1950,5,May-1950,KS,2,2,0,2,19.6,440
1950,5,May-1950,KS,1,1,0,1,0.1,10
1950,5,May-1950,KS,1,0,0,0,0.1,10
1950,5,May-1950,NE,2,1,0,1,8.8,467
1950,5,May-1950,KS,1,0,0,0,0.1,10
1950,5,May-1950,OK,1,0,0,0,0.8,200
1950,5,May-1950,OK,1,0,0,0,0.5,77
1950,5,May-1950,LA,1,0,0,0,2,27
1950,5,May-1950,TX,1,0,0,0,1,100
1950,5,May-1950,TX,2,0,0,0,18,10
1950,5,May-1950,KS,2,0,0,0,0.2,200
1950,5,May-1950,OK,1,1,0,1,7.3,100
1950,5,May-1950,NE,1,0,0,0,0.7,333
1950,5,May-1950,KS,3,2,0,2,14.9,100
1950,5,May-1950,KS,0,0,0,0,0.1,10
1950,5,May-1950,KS,0,0,0,0,0.1,10
1950,5,May-1950,OK,1,0,0,0,1.5,100
1950,5,May-1950,KS,0,0,0,0,0.2,250
1950,5,May-1950,KS,2,1,0,1,3.6,77
1950,5,May-1950,KS,1,0,0,0,10.7,40
1950,5,May-1950,OK,2,2,0,2,1,33
1950,5,May-1950,TX,1,0,0,0,3,880
1950,5,May-1950,OK,1,0,0,0,1,33
1950,5,May-1950,TX,1,0,0,0,3.4,267
1950,5,May-1950,LA,1,13,0,13,1,27
1950,5,May-1950,LA,1,0,0,0,1,27
1950,6,Jun-1950,TX,3,6,0,6,23.9,67
1950,6,Jun-1950,TX,1,2,0,2,23.7,10
1950,6,Jun-1950,KS,4,5,1,6,17.1,700
1950,6,Jun-1950,OK,1,0,0,0,0.1,100
1950,6,Jun-1950,NE,2,101,0,101,4.1,10
1950,6,Jun-1950,IA,3,5,0,5,5.6,300
1950,6,Jun-1950,KS,1,0,0,0,29.9,10
1950,6,Jun-1950,TX,0,0,0,0,15.8,167
1950,6,Jun-1950,NE,0,0,0,0,1.9,10
1950,6,Jun-1950,KS,0,0,0,0,0.1,10
1950,6,Jun-1950,KS,0,0,0,0,0.1,10
1950,7,Jul-1950,KS,2,0,0,0,0.1,10
1950,7,Jul-1950,KS,1,1,0,1,0.1,10
1950,7,Jul-1950,IA,2,0,0,0,14,10
1950,7,Jul-1950,KS,2,0,0,0,1,90
1950,7,Jul-1950,KS,1,0,0,0,1,90
1950,7,Jul-1950,NE,4,33,0,33,10,440
1950,7,Jul-1950,KS,1,0,0,0,0.1,10
1950,8,Aug-1950,KS,1,0,0,0,0.1,10
