Year,Date,State,Magnitude,Total
1950,Jan-50,TX,2,2
1950,Feb-50,TX,2,0
1950,Feb-50,TX,3,13
1950,Feb-50,TX,2,5
1950,Feb-50,TX,2,6
1950,Feb-50,TX,2,9
1950,Feb-50,TX,1,0
1950,Feb-50,TX,2,0
1950,Feb-50,TX,1,32
1950,Feb-50,TX,3,18
1950,Feb-50,LA,4,95
1950,Feb-50,LA,2,15
1950,Feb-50,LA,3,30
1950,Feb-50,LA,1,0
1950,Feb-50,OK,2,0
1950,Mar-50,LA,1,2
1950,Mar-50,LA,2,0
1950,Mar-50,LA,0,0
1950,Mar-50,OK,2,0
1950,Mar-50,LA,1,2
1950,Mar-50,LA,1,0
1950,Apr-50,OK,2,0
1950,Apr-50,OK,1,0
1950,Apr-50,LA,1,0
1950,Apr-50,OK,3,2
1950,Apr-50,KS,1,0
1950,Apr-50,TX,4,10
1950,Apr-50,OK,4,37
1950,Apr-50,OK,2,0
1950,Apr-50,TX,1,0
1950,May-50,LA,1,0
1950,May-50,LA,1,0
1950,May-50,LA,2,7
1950,May-50,LA,1,2
1950,May-50,LA,0,0
1950,May-50,LA,1,1
1950,May-50,LA,2,6
1950,May-50,KS,1,0
1950,May-50,TX,2,14
1950,May-50,IA,1,0
1950,May-50,OK,2,0
1950,May-50,OK,1,0
1950,May-50,OK,2,0
1950,May-50,KS,4,1
1950,May-50,KS,3,12
1950,May-50,OK,1,0
1950,May-50,OK,2,3
1950,May-50,OK,1,0
1950,May-50,SD,1,0
1950,May-50,KS,2,0
1950,May-50,KS,2,1
1950,May-50,IA,2,0
1950,May-50,KS,2,2
1950,May-50,KS,1,1
1950,May-50,KS,1,0
1950,May-50,NE,2,1
1950,May-50,KS,1,0
1950,May-50,OK,1,0
1950,May-50,OK,1,0
1950,May-50,LA,1,0
1950,May-50,TX,1,0
1950,May-50,TX,2,0
1950,May-50,KS,2,0
1950,May-50,OK,1,1
1950,May-50,NE,1,0
1950,May-50,KS,3,2
1950,May-50,KS,0,0
1950,May-50,KS,0,0
1950,May-50,OK,1,0
1950,May-50,KS,0,0
1950,May-50,KS,2,1
1950,May-50,KS,1,0
1950,May-50,OK,2,2
1950,May-50,TX,1,0
1950,May-50,OK,1,0
1950,May-50,TX,1,0
1950,May-50,LA,1,13
1950,May-50,LA,1,0
1950,Jun-50,TX,3,6
1950,Jun-50,TX,1,2
1950,Jun-50,KS,4,6
1950,Jun-50,OK,1,0
1950,Jun-50,NE,2,101
1950,Jun-50,IA,3,5
1950,Jun-50,KS,1,0
1950,Jun-50,TX,0,0
1950,Jun-50,NE,0,0
1950,Jun-50,KS,0,0
1950,Jun-50,KS,0,0
1950,Jul-50,KS,2,0
1950,Jul-50,KS,1,1
1950,Jul-50,IA,2,0
1950,Jul-50,KS,2,0
1950,Jul-50,KS,1,0
1950,Jul-50,NE,4,33
1950,Jul-50,KS,1,0
1950,Aug-50,KS,1,0
1950,Aug-50,KS,2,0
1950,Aug-50,KS,2,0
1950,Aug-50,KS,1,0
1950,Sep-50,OK,2,6
1950,Sep-50,OK,0,0
1950,Sep-50,NE,1,0
1950,Oct-50,OK,1,0
1951,Jan-51,LA,3,11
1951,Feb-51,LA,1,0
1951,Feb-51,LA,1,0
1951,Feb-51,OK,2,5
1951,Feb-51,OK,0,0
1951,Mar-51,KS,3,0
1951,Mar-51,KS,0,0
1951,Mar-51,TX,1,0
1951,Apr-51,OK,2,0
1951,Apr-51,OK,2,2
1951,Apr-51,OK,2,2
1951,Apr-51,TX,2,0
1951,Apr-51,KS,0,0
1951,Apr-51,LA,0,2
1951,Apr-51,LA,0,1
1951,Apr-51,OK,0,0
1951,Apr-51,OK,1,0
1951,Apr-51,OK,1,0
1951,Apr-51,KS,0,0
1951,Apr-51,KS,1,0
1951,Apr-51,KS,0,0
1951,Apr-51,OK,1,0
1951,Apr-51,KS,1,0
1951,Apr-51,OK,1,2
1951,Apr-51,KS,3,0
1951,Apr-51,NE,1,0
1951,Apr-51,OK,1,0
1951,Apr-51,OK,3,0
1951,Apr-51,OK,2,0
1951,Apr-51,KS,0,0
1951,May-51,KS,1,0
1951,May-51,KS,1,0
1951,May-51,KS,1,0
1951,May-51,KS,1,0
1951,May-51,TX,2,0
1951,May-51,OK,1,0
1951,May-51,OK,2,1
1951,May-51,KS,0,0
1951,May-51,NE,0,0
1951,May-51,KS,1,0
1951,May-51,KS,2,0
1951,May-51,OK,2,0
1951,May-51,OK,2,0
1951,May-51,KS,2,0
1951,May-51,KS,3,4
1951,May-51,TX,1,0
1951,May-51,OK,0,0
1951,May-51,TX,4,102
1951,May-51,OK,1,0
1951,May-51,OK,1,0
1951,May-51,OK,1,0
1951,May-51,OK,1,0
1951,May-51,OK,2,0
1951,May-51,OK,0,0
1951,May-51,KS,3,0
1951,May-51,KS,2,0
1951,May-51,KS,3,0
1951,May-51,KS,2,0
1951,May-51,KS,1,0
1951,May-51,TX,1,1
1951,May-51,KS,1,0
1951,May-51,KS,3,1
1951,May-51,KS,2,0
1951,May-51,NE,2,7
1951,May-51,NE,1,0
1951,May-51,KS,1,0
1951,May-51,KS,1,0
1951,May-51,KS,0,0
1951,May-51,KS,1,0
1951,May-51,KS,0,0
1951,May-51,KS,0,0
1951,May-51,KS,0,0
1951,May-51,KS,0,0
1951,May-51,TX,1,0
1951,May-51,KS,2,0
1951,Jun-51,KS,1,0
1951,Jun-51,IA,3,7
1951,Jun-51,OK,2,0
1951,Jun-51,KS,2,3
1951,Jun-51,KS,1,0
1951,Jun-51,TX,1,0
1951,Jun-51,TX,0,0
1951,Jun-51,KS,3,3
1951,Jun-51,KS,0,0
1951,Jun-51,KS,0,0
1951,Jun-51,KS,1,0
1951,Jun-51,KS,1,0
1951,Jun-51,KS,1,0
1951,Jun-51,TX,3,12
1951,Jun-51,TX,0,0
1951,Jun-51,TX,2,0
1951,Jun-51,OK,0,0
