Date,Count
Jan-1960,9
Feb-1960,28
Mar-1960,28
Apr-1960,71
May-1960,201
Jun-1960,125
Jul-1960,42
Aug-1960,48
Sep-1960,21
Oct-1960,18
Nov-1960,25
Dec-1960,1
Jan-1961,1
Feb-1961,31
Mar-1961,126
Apr-1961,76
May-1961,140
Jun-1961,107
Jul-1961,78
Aug-1961,27
Sep-1961,54
Oct-1961,14
Nov-1961,36
Dec-1961,16
Jan-1962,12
Feb-1962,25
Mar-1962,37
Apr-1962,41
May-1962,204
Jun-1962,171
Jul-1962,79
Aug-1962,51
Sep-1962,24
Oct-1962,11
Nov-1962,5
Dec-1962,2
Jan-1963,15
Feb-1963,5
Mar-1963,50
Apr-1963,87
May-1963,72
Jun-1963,90
Jul-1963,62
Aug-1963,26
Sep-1963,34
Oct-1963,13
Nov-1963,15
Dec-1963,0.1
Jan-1964,14
Feb-1964,2
Mar-1964,36
Apr-1964,159
May-1964,135
Jun-1964,138
Jul-1964,63
Aug-1964,79
Sep-1964,25
Oct-1964,22
Nov-1964,18
Dec-1964,18
Jan-1965,21
Feb-1965,33
Mar-1965,35
Apr-1965,128
May-1965,274
Jun-1965,147
Jul-1965,86
Aug-1965,61
Sep-1965,64
Oct-1965,16
Nov-1965,35
Dec-1965,7
Jan-1966,1
Feb-1966,28
Mar-1966,13
Apr-1966,80
May-1966,98
Jun-1966,126
Jul-1966,101
Aug-1966,59
Sep-1966,22
Oct-1966,29
Nov-1966,20
Dec-1966,11
Jan-1967,40
Feb-1967,8
Mar-1967,42
Apr-1967,152
May-1967,116
Jun-1967,210
Jul-1967,90
Aug-1967,28
Sep-1967,139
Oct-1967,36
Nov-1967,8
Dec-1967,64
Jan-1968,5
Feb-1968,7
Mar-1968,28
Apr-1968,103
May-1968,143
Jun-1968,137
Jul-1968,56
Aug-1968,67
Sep-1968,25
Oct-1968,14
Nov-1968,44
Dec-1968,32
Jan-1969,3
Feb-1969,5
Mar-1969,8
Apr-1969,71
May-1969,145
Jun-1969,137
Jul-1969,98
Aug-1969,70
Sep-1969,20
Oct-1969,26
Nov-1969,5
Dec-1969,23
Jan-1970,9
Feb-1970,16
Mar-1970,25
Apr-1970,120
May-1970,88
Jun-1970,136
Jul-1970,81
Aug-1970,55
Sep-1970,55
Oct-1970,51
Nov-1970,10
Dec-1970,14
Jan-1971,19
Feb-1971,85
Mar-1971,41
Apr-1971,75
May-1971,169
Jun-1971,199
Jul-1971,100
Aug-1971,50
Sep-1971,47
Oct-1971,38
Nov-1971,16
Dec-1971,56
Jan-1972,33
Feb-1972,7
Mar-1972,69
Apr-1972,98
May-1972,140
Jun-1972,114
Jul-1972,115
Aug-1972,59
Sep-1972,50
Oct-1972,34
Nov-1972,17
Dec-1972,8
Jan-1973,33
Feb-1973,10
Mar-1973,81
Apr-1973,150
May-1973,251
Jun-1973,224
Jul-1973,80
Aug-1973,52
Sep-1973,70
Oct-1973,25
Nov-1973,81
Dec-1973,49
Jan-1974,24
Feb-1974,23
Mar-1974,38
Apr-1974,276
May-1974,144
Jun-1974,194
Jul-1974,59
Aug-1974,107
Sep-1974,25
Oct-1974,45
Nov-1974,13
Dec-1974,8
Jan-1975,53
Feb-1975,45
Mar-1975,85
Apr-1975,108
May-1975,188
Jun-1975,196
Jul-1975,79
Aug-1975,60
Sep-1975,34
Oct-1975,12
Nov-1975,39
Dec-1975,22
Jan-1976,12
Feb-1976,37
Mar-1976,183
Apr-1976,114
May-1976,156
Jun-1976,169
Jul-1976,84
Aug-1976,38
Sep-1976,35
Oct-1976,11
Nov-1976,0.1
Dec-1976,1
Jan-1977,5
Feb-1977,17
Mar-1977,64
Apr-1977,88
May-1977,229
Jun-1977,133
Jul-1977,100
Aug-1977,82
Sep-1977,66
Oct-1977,25
Nov-1977,24
Dec-1977,23
Jan-1978,23
Feb-1978,7
Mar-1978,17
Apr-1978,107
May-1978,215
Jun-1978,149
Jul-1978,143
Aug-1978,66
Sep-1978,21
Oct-1978,7
Nov-1978,9
Dec-1978,31
Jan-1979,16
Feb-1979,4
Mar-1979,54
Apr-1979,127
May-1979,112
Jun-1979,150
Jul-1979,132
Aug-1979,126
Sep-1979,69
Oct-1979,47
Nov-1979,21
Dec-1979,2
Jan-1980,5
Feb-1980,11
Mar-1980,41
Apr-1980,138
May-1980,204
Jun-1980,218
Jul-1980,95
Aug-1980,74
Sep-1980,37
Oct-1980,43
Nov-1980,3
Dec-1980,1
Jan-1981,2
Feb-1981,25
Mar-1981,34
Apr-1981,84
May-1981,187
Jun-1981,223
Jul-1981,99
Aug-1981,64
Sep-1981,26
Oct-1981,32
Nov-1981,7
Dec-1981,1
Jan-1982,18
Feb-1982,3
Mar-1982,63
Apr-1982,152
May-1982,331
Jun-1982,197
Jul-1982,95
Aug-1982,34
Sep-1982,38
Oct-1982,9
Nov-1982,19
Dec-1982,98
Jan-1983,13
Feb-1983,41
Mar-1983,71
Apr-1983,65
May-1983,252
Jun-1983,179
Jul-1983,99
Aug-1983,76
Sep-1983,19
Oct-1983,13
Nov-1983,48
Dec-1983,58
Jan-1984,1
Feb-1984,27
Mar-1984,76
Apr-1984,176
May-1984,172
Jun-1984,244
Jul-1984,72
Aug-1984,47
Sep-1984,17
Oct-1984,49
Nov-1984,30
Dec-1984,4
Jan-1985,2
Feb-1985,7
Mar-1985,38
Apr-1985,135
May-1985,189
Jun-1985,83
Jul-1985,51
Aug-1985,109
Sep-1985,40
Oct-1985,18
Nov-1985,19
Dec-1985,3
Jan-1986,0.1
Feb-1986,30
Mar-1986,76
Apr-1986,85
May-1986,173
Jun-1986,134
Jul-1986,90
Aug-1986,69
Sep-1986,66
Oct-1986,27
Nov-1986,17
Dec-1986,5
Jan-1987,6
Feb-1987,19
Mar-1987,38
Apr-1987,20
May-1987,126
Jun-1987,132
Jul-1987,164
